id_instalacion,rut_jefe,tipo_instalacion,capacidad_instalacion,nombre_puerto
95,33461512-k,muelle,3,Puerto Chacabuco
23,38578737-5,muelle,3,Mejillones
67,58038177-4,astillero,3,Port Williams
16,87624695-3,muelle,2,Caldera
157,78301240-5,astillero,2,Lota
4,20789297-1,astillero,1,Caleta Patillos
170,58378678-3,muelle,1,Coronel
110,29637564-0,astillero,1,Puerto Angamos
15,31359212-k,astillero,1,Guayacan
40,23494123-2,muelle,3,Caleta Patillos
55,31194216-6,muelle,3,Mejillones
179,15795964-6,astillero,3,Puerto Angamos
32,25450277-4,astillero,2,Quellon
52,61993529-2,muelle,1,Quintero
117,89751595-4,astillero,2,Coronel
211,52792841-9,muelle,1,Corral
86,95423202-6,muelle,3,Cabo Negro
8,38629675-8,astillero,1,Caldera
37,25696685-9,muelle,3,Valdivia
94,60727093-7,astillero,2,Huasco
168,57181678-4,astillero,2,Caleta Patillos
119,59105378-7,muelle,1,Cruz Grande
204,10927357-0,muelle,1,Ancud
136,91957637-5,astillero,1,Mejillones
19,50942616-3,muelle,2,Cruz Grande
81,69767927-8,muelle,3,Castro
45,52698782-9,astillero,3,Guayacan
114,82533150-6,muelle,1,Puerto Angamos
71,23711490-6,muelle,1,Caleta Patillos
177,44973013-5,muelle,1,La Serena
42,21016824-9,muelle,3,Cruz Grande
138,44604413-3,muelle,2,Puerto Angamos
39,43329730-k,muelle,1,Calderilla
58,67314332-6,astillero,3,Taltal
75,34823992-9,astillero,1,Quintero
167,81881771-1,astillero,1,Port Williams
145,40644356-6,muelle,2,San Vicente
113,46805723-9,astillero,2,Coronel
131,30991735-9,astillero,1,Calderilla
54,79348268-k,muelle,2,Puerto Montt
123,97632307-6,muelle,2,Quintero
127,15955355-8,muelle,1,Chacabuco
63,26249833-6,astillero,3,Lota
175,24927693-6,muelle,1,La Serena
30,45856781-6,astillero,2,Lirquen
50,46531952-6,astillero,2,Lota
156,42494071-2,muelle,2,Balmaceda
112,38100857-6,astillero,2,Ancud
29,54122700-8,astillero,3,Calderilla
159,17341224-k,astillero,3,Chacabuco
214,66714421-3,astillero,3,Guayacan
188,60747994-1,muelle,1,Huasco
98,99837067-1,muelle,3,Isla de Pascua
187,70433997-6,astillero,1,Lota
97,60926655-4,muelle,1,Puerto Angamos
93,44372095-2,astillero,2,Puerto Montt
163,71389826-0,muelle,3,Cabo Negro
51,44626695-0,astillero,2,Barquito
99,92390198-1,astillero,3,Tocopilla
80,50319391-4,muelle,1,Caldera
85,65485230-8,muelle,2,Penco
6,53281073-6,astillero,2,Puerto Angamos
161,83029887-8,muelle,3,Isla de Pascua
197,13947632-8,astillero,1,Caleta Patillos
9,64367868-3,astillero,1,Antofagasta
90,32153494-5,muelle,3,Taltal
107,12957899-8,muelle,3,Penco
189,32086803-3,astillero,3,Huasco
57,76762441-7,astillero,3,Coronel
44,18984900-1,astillero,1,Calderilla
61,42714709-6,muelle,2,Arica
20,96828461-4,muelle,2,Chacabuco
17,73454838-3,muelle,1,Tocopilla
215,60456055-1,muelle,2,Chacabuco
38,37797879-k,astillero,2,Lirquen
12,82254885-7,muelle,1,Calderilla
162,70551235-3,muelle,2,Arica
206,45273848-1,muelle,2,Arica
181,11123767-0,astillero,3,Cabo Negro
111,41325900-2,astillero,1,Valparaiso
53,91258242-6,astillero,2,Arica
76,10537138-1,astillero,3,Corral
186,35806868-5,muelle,3,Barquito
2,89265324-0,muelle,3,Cabo Negro
26,15333675-k,muelle,3,La Serena
66,34975310-3,astillero,3,Taltal
149,29004298-4,muelle,1,Antofagasta
68,48592540-6,muelle,3,Isla Guarello
124,80228379-2,muelle,3,Tocopilla
83,41966463-4,astillero,1,Caleta Coloso
166,84593882-2,astillero,2,Calderilla
92,49552236-9,muelle,3,Cruz Grande
172,28673876-1,muelle,3,Huasco
142,12177977-3,muelle,2,Taltal
64,48007583-8,muelle,1,Caleta Coloso
5,19410523-1,muelle,1,Caleta Coloso
104,22150901-3,astillero,3,Coronel
190,95711978-6,muelle,3,Port Williams
120,66976509-6,muelle,1,Guayacan
33,88408240-4,astillero,3,Puerto Montt
70,12969098-4,astillero,2,Coronel
128,53383454-k,astillero,3,San Antonio
169,14495790-3,astillero,2,San Vicente
69,16943787-4,astillero,2,Caleta Patillos
205,42868972-0,muelle,2,Quintero
151,76362168-5,muelle,2,Puerto Montt
62,36600416-5,muelle,1,Calderilla
43,99302343-4,astillero,2,Coronel
22,83330704-5,muelle,2,Quellon
132,54363208-2,muelle,2,Chacabuco
35,41775238-2,astillero,3,Arica
150,53087333-1,muelle,2,Chacabuco
73,88667817-7,muelle,1,Guayacan
126,41659296-9,astillero,2,Punta Patache
195,17611254-9,astillero,3,Punta Patache
106,98661210-6,muelle,2,Punta Arenas
178,24655915-5,muelle,2,Isla Guarello
152,69691126-6,muelle,2,San Vicente
199,90494178-6,muelle,1,Quellon
158,96213582-k,astillero,1,Taltal
49,14408869-7,astillero,2,Lota
121,70368495-5,muelle,2,Ancud
121,70368495-5,muelle,2,Ancud
