id_instalacion,rut_jefe,capacidad_instalacion,nombre_puerto
136,91957637-5,1,Mejillones
19,50942616-3,2,Cruz Grande
81,69767927-8,3,Castro
45,52698782-9,3,Guayacan
114,82533150-6,1,Puerto Angamos
71,23711490-6,1,Caleta Patillos
177,44973013-5,1,La Serena
42,21016824-9,3,Cruz Grande
138,44604413-3,2,Puerto Angamos
39,43329730-k,1,Calderilla
58,67314332-6,3,Taltal
75,34823992-9,1,Quintero
167,81881771-1,1,Port Williams
145,40644356-6,2,San Vicente
113,46805723-9,2,Coronel
131,30991735-9,1,Calderilla
54,79348268-k,2,Puerto Montt
123,97632307-6,2,Quintero
127,15955355-8,1,Chacabuco
63,26249833-6,3,Lota
175,24927693-6,1,La Serena
30,45856781-6,2,Lirquen
50,46531952-6,2,Lota
156,42494071-2,2,Balmaceda
112,38100857-6,2,Ancud
29,54122700-8,3,Calderilla
159,17341224-k,3,Chacabuco
214,66714421-3,3,Guayacan
188,60747994-1,1,Huasco
98,99837067-1,3,Isla de Pascua
187,70433997-6,1,Lota
97,60926655-4,1,Puerto Angamos
93,44372095-2,2,Puerto Montt
163,71389826-0,3,Cabo Negro
51,44626695-0,2,Barquito
99,92390198-1,3,Tocopilla
80,50319391-4,1,Caldera
85,65485230-8,2,Penco
6,53281073-6,2,Puerto Angamos
161,83029887-8,3,Isla de Pascua
197,13947632-8,1,Caleta Patillos
9,64367868-3,1,Antofagasta
90,32153494-5,3,Taltal
107,12957899-8,3,Penco
189,32086803-3,3,Huasco
57,76762441-7,3,Coronel
44,18984900-1,1,Calderilla
61,42714709-6,2,Arica
20,96828461-4,2,Chacabuco
17,73454838-3,1,Tocopilla
215,60456055-1,2,Chacabuco
38,37797879-k,2,Lirquen
12,82254885-7,1,Calderilla
162,70551235-3,2,Arica
206,45273848-1,2,Arica
181,11123767-0,3,Cabo Negro
111,41325900-2,1,Valparaiso
53,91258242-6,2,Arica
76,10537138-1,3,Corral
186,35806868-5,3,Barquito
2,89265324-0,3,Cabo Negro
26,15333675-k,3,La Serena
66,34975310-3,3,Taltal
149,29004298-4,1,Antofagasta
68,48592540-6,3,Isla Guarello
124,80228379-2,3,Tocopilla
83,41966463-4,1,Caleta Coloso
166,84593882-2,2,Calderilla
92,49552236-9,3,Cruz Grande
172,28673876-1,3,Huasco
142,12177977-3,2,Taltal
64,48007583-8,1,Caleta Coloso
5,19410523-1,1,Caleta Coloso
104,22150901-3,3,Coronel
190,95711978-6,3,Port Williams
120,66976509-6,1,Guayacan
33,88408240-4,3,Puerto Montt
70,12969098-4,2,Coronel
128,53383454-k,3,San Antonio
169,14495790-3,2,San Vicente
69,16943787-4,2,Caleta Patillos
205,42868972-0,2,Quintero
151,76362168-5,2,Puerto Montt
62,36600416-5,1,Calderilla
43,99302343-4,2,Coronel
22,83330704-5,2,Quellon
132,54363208-2,2,Chacabuco
35,41775238-2,3,Arica
150,53087333-1,2,Chacabuco
73,88667817-7,1,Guayacan
126,41659296-9,2,Punta Patache
195,17611254-9,3,Punta Patache
106,98661210-6,2,Punta Arenas
178,24655915-5,2,Isla Guarello
152,69691126-6,2,San Vicente
199,90494178-6,1,Quellon
158,96213582-k,1,Taltal
49,14408869-7,2,Lota
121,70368495-5,2,Ancud
122,18902520-3,3,Penco
