id_instalacion,fecha_cierre,fecha_apertura,rut_jefe_cierre
141,2019-12-07 16:40:59,2019-12-19 02:38:24,22240154-2
96,2012-01-13 12:47:13,2012-01-21 15:11:06,44770429-3
208,2013-11-02 19:20:46,2013-11-13 07:21:26,66119831-1
87,2017-01-05 16:49:05,2017-01-16 02:10:00,74357811-2
180,2015-07-29 16:35:16,2015-08-05 16:53:25,35776394-0
118,2017-12-21 01:41:21,2017-12-26 02:35:39,48553208-0
196,2018-04-14 06:31:50,2018-04-28 15:29:33,81560843-7
194,2012-10-01 15:44:29,2012-10-09 04:07:43,54593722-0
155,2014-08-20 18:41:06,2014-09-03 06:03:23,51693674-6
130,2012-01-30 15:11:55,2012-02-10 22:00:44,16636734-4
95,2011-11-14 07:08:12,2011-11-23 14:35:00,38235761-2
23,2017-11-13 16:53:14,2017-11-21 19:00:39,28630079-0
67,2013-12-27 22:58:02,2014-01-09 14:47:39,53721649-2
16,2014-05-28 16:12:42,2014-06-11 20:41:27,53089483-5
157,2012-06-25 10:05:03,2012-07-02 22:38:23,36081017-8
4,2012-12-16 10:47:41,2012-12-21 20:00:12,79861684-6
170,2011-02-07 18:55:40,2011-02-20 08:13:15,51193594-6
110,2019-09-08 12:19:56,2019-09-11 22:02:54,36918308-7
15,2012-08-16 20:35:06,2012-08-28 03:55:28,20640357-8
40,2019-11-22 00:56:09,2019-11-27 10:56:54,77210598-3
55,2012-07-07 02:13:35,2012-07-16 16:02:10,96900689-8
179,2020-02-23 23:41:55,2020-03-07 06:44:11,64269343-3
32,2011-08-19 03:13:29,2011-08-22 15:46:04,25750021-7
52,2013-01-07 09:45:13,2013-01-21 02:05:29,79263691-8
117,2015-05-27 12:28:21,2015-06-07 03:04:35,10094201-1
211,2016-06-22 21:58:50,2016-07-02 06:14:30,11453035-2
86,2018-05-01 07:58:40,2018-05-07 21:23:48,34414978-k
8,2016-09-02 06:25:32,2016-09-11 15:45:00,34352032-8
37,2014-12-01 08:53:16,2014-12-11 17:35:24,41694611-6
94,2016-03-02 21:58:56,2016-03-09 08:22:18,44290962-8
168,2014-10-28 12:49:13,2014-11-08 19:27:34,83469143-4
119,2014-12-30 22:53:45,2015-01-13 02:54:26,59105378-7
204,2016-05-22 10:14:45,2016-05-27 10:24:47,66183219-3
136,2013-04-14 03:46:45,2013-04-19 08:00:56,15460166-k
19,2012-06-15 05:05:52,2012-06-18 17:45:13,50942616-3
81,2016-05-11 15:26:43,2016-05-26 03:03:10,79480331-5
45,2018-01-20 23:12:15,2018-01-26 12:55:42,68505645-3
114,2017-12-03 02:17:42,2017-12-15 06:14:15,48766480-4
71,2014-05-08 05:39:58,2014-05-17 16:20:24,15119459-1
177,2017-03-30 05:28:39,2017-04-13 11:36:33,44973013-5
42,2019-05-26 22:50:20,2019-06-06 04:08:07,96251410-3
138,2019-06-28 22:46:41,2019-07-11 09:25:00,45125749-8
39,2015-11-12 09:54:02,2015-11-21 18:51:22,58303600-8
58,2015-12-18 18:24:53,2015-12-25 07:50:19,63421928-5
75,2020-04-24 23:49:47,2020-05-01 15:01:08,59495529-3
167,2020-09-05 12:13:39,2020-09-20 00:13:02,20209505-4
145,2015-10-04 11:25:25,2015-10-11 12:59:02,12187269-2
113,2010-10-31 11:13:35,2010-11-04 13:49:15,94888169-1
131,2011-12-02 18:57:07,2011-12-10 09:36:16,70582800-8
54,2014-05-15 13:09:57,2014-05-24 03:19:42,79348268-k
123,2011-07-07 22:03:41,2011-07-10 22:20:20,56229978-5
127,2018-11-22 02:18:39,2018-12-05 07:15:12,15955355-8
63,2012-06-13 03:05:22,2012-06-26 06:44:42,86083776-5
175,2020-05-19 15:31:44,2020-05-27 22:54:33,33890329-4
30,2019-03-23 17:39:32,2019-03-29 05:38:41,33016426-3
50,2010-07-20 19:56:31,2010-07-24 08:31:30,62550748-0
156,2019-08-13 14:58:41,2019-08-19 21:34:21,83123905-0
112,2018-04-04 15:01:45,2018-04-15 21:04:47,25198755-6
29,2013-10-11 04:15:05,2013-10-21 12:41:54,28231652-8
159,2011-08-30 18:12:08,2011-09-09 01:13:52,95185947-8
214,2017-11-25 09:34:28,2017-11-29 12:11:52,73815426-6
188,2012-08-15 11:03:40,2012-08-21 18:20:47,60747994-1
98,2020-04-21 17:54:58,2020-04-29 23:44:00,35661237-k
187,2013-01-22 00:00:29,2013-02-03 00:46:38,73543707-0
97,2014-10-18 07:08:55,2014-10-24 10:27:21,77020926-9
93,2012-07-31 02:21:48,2012-08-07 06:21:28,44372095-2
163,2016-01-06 11:20:23,2016-01-10 16:50:59,71389826-0
51,2017-07-22 14:35:09,2017-08-01 02:57:41,44626695-0
99,2017-10-22 06:03:31,2017-11-03 08:41:01,48161908-4
80,2016-05-05 20:33:35,2016-05-14 09:11:21,92170041-5
85,2018-03-14 16:07:57,2018-03-22 07:23:49,33874298-3
6,2010-06-09 06:00:13,2010-06-15 07:18:36,95541819-0
161,2019-11-10 06:26:28,2019-11-14 20:40:34,83029887-8
197,2016-08-05 18:50:47,2016-08-17 06:36:04,72070561-3
9,2014-08-24 17:29:23,2014-09-05 00:20:09,94384917-k
90,2015-05-06 08:49:13,2015-05-19 19:26:43,95656123-k
107,2013-11-25 14:57:49,2013-12-05 04:11:58,12957899-8
189,2017-12-26 00:36:00,2018-01-01 07:57:02,63884576-8
57,2015-05-14 21:50:06,2015-05-26 02:03:44,36432728-5
44,2019-04-29 16:34:27,2019-05-13 21:39:42,12412672-k
61,2015-08-30 03:43:43,2015-09-05 15:01:26,62014673-0
20,2015-06-06 23:04:11,2015-06-18 06:39:21,96828461-4
17,2017-06-01 11:47:47,2017-06-10 20:19:01,69760987-3
215,2011-07-28 07:38:39,2011-08-11 10:18:27,99075946-4
38,2014-06-18 11:05:16,2014-06-21 13:00:55,88772168-8
12,2016-12-12 11:14:57,2016-12-18 22:14:32,34572846-5
162,2015-05-17 14:46:06,2015-05-23 22:58:46,88034198-7
206,2013-01-28 01:53:10,2013-02-03 11:32:55,21219682-7
181,2014-08-03 01:30:40,2014-08-07 08:24:06,11123767-0
111,2019-04-20 05:34:53,2019-05-03 20:43:31,62820832-8
53,2015-11-24 03:05:13,2015-12-02 19:17:39,53747213-8
76,2011-01-30 21:28:28,2011-02-07 08:20:17,10537138-1
186,2012-11-30 15:22:51,2012-12-03 22:22:38,84569598-9
2,2011-07-26 06:38:35,2011-07-30 20:12:03,93840785-1
26,2014-01-24 06:36:08,2014-01-29 19:22:41,95741388-9
66,2011-07-13 22:37:33,2011-07-25 14:13:48,43953571-7
149,2013-11-30 19:45:16,2013-12-13 01:29:21,85394005-4
68,2018-06-24 10:25:33,2018-06-29 11:04:23,49166815-6
124,2018-03-17 12:43:52,2018-03-29 13:23:05,83917354-7
83,2018-07-03 21:43:26,2018-07-16 09:35:06,47922722-5
166,2019-03-28 06:57:47,2019-04-10 22:04:44,17459269-1
92,2013-10-12 16:42:57,2013-10-22 09:03:21,13965853-1
172,2016-11-06 04:54:38,2016-11-20 16:21:11,59959821-9
142,2011-03-30 09:04:22,2011-04-09 13:41:19,15591154-9
64,2019-11-14 08:14:45,2019-11-23 00:10:20,48176712-1
5,2020-09-01 00:24:55,2020-09-09 14:26:14,53609901-8
104,2017-10-20 17:10:40,2017-10-24 04:01:31,22150901-3
190,2020-02-23 06:12:39,2020-03-06 19:31:22,28273728-0
120,2018-10-29 12:30:58,2018-11-03 15:17:18,13572944-2
33,2019-12-09 12:58:40,2019-12-20 22:22:29,13068977-9
70,2013-02-04 09:31:24,2013-02-16 12:50:29,25399600-5
128,2013-01-14 05:47:27,2013-01-20 16:59:01,53383454-k
169,2016-01-26 23:36:11,2016-01-30 12:35:42,75328775-2
69,2012-03-15 10:26:10,2012-03-26 12:55:57,10119008-0
205,2018-05-25 12:19:46,2018-06-04 13:49:04,75269880-5
151,2011-02-02 01:42:53,2011-02-15 15:08:32,96863860-2
62,2018-12-24 04:58:05,2019-01-02 09:59:59,31457093-6
43,2015-01-04 23:17:00,2015-01-12 09:31:35,79543386-4
22,2011-12-29 06:38:21,2012-01-05 15:44:08,63974341-1
132,2011-04-07 03:07:09,2011-04-18 10:18:27,54363208-2
35,2010-01-02 16:58:28,2010-01-17 03:55:58,23748548-3
150,2011-12-15 03:12:51,2011-12-24 09:13:55,43654491-k
73,2017-02-05 08:57:19,2017-02-12 17:09:45,33090056-3
126,2014-04-05 12:19:44,2014-04-16 01:00:49,85034590-2
195,2014-11-14 22:02:40,2014-11-26 02:37:22,34902561-2
106,2011-07-20 07:56:09,2011-07-23 13:08:20,77520112-6
178,2013-05-02 04:30:56,2013-05-11 08:23:51,91790173-2
152,2010-05-18 05:59:08,2010-05-23 21:54:54,69691126-6
199,2014-10-19 18:40:32,2014-11-01 08:58:27,59890575-4
158,2016-06-11 14:42:38,2016-06-16 18:49:58,81498697-7
49,2017-05-21 16:47:30,2017-06-03 23:40:58,14408869-7
121,2015-02-28 14:19:58,2015-03-11 06:37:32,70368495-5
122,2019-12-09 12:58:40,2019-12-20 22:22:29,25844754-9
